NIST/ITL StRD
Dataset Name:  Bennett5          (Bennett5.dat)

File Format:   ASCII
               Starting Values   (lines 41 to  43)
               Certified Values  (lines 41 to  48)
               Data              (lines 61 to 214)

Procedure:     Nonlinear Least Squares Regression

Description:   These data are the result of a NIST study involving
               superconductivity magnetization modeling.  The
               response variable is magnetism, and the predictor
               variable is the log of time in minutes.

Reference:     Bennett, L., L. Swartzendruber, and H. Brown,
               NIST (1994).
               Superconductivity Magnetization Modeling.






Data:          1 Response Variable  (y = magnetism)
               1 Predictor Variable (x = log[time])
               154 Observations
               Higher Level of Difficulty
               Observed Data

Model:         Miscellaneous Class
               3 Parameters (b1 to b3)

               y = b1 * (b2+x)**(-1/b3)  +  e



          Starting values                  Certified Values

        Start 1     Start 2           Parameter     Standard Deviation
  b1 =   -2000       -1500        -2.5235058043E+03  2.9715175411E+02
  b2 =      50          45         4.6736564644E+01  1.2448871856E+00
  b3 =       0.8         0.85      9.3218483193E-01  2.0272299378E-02

Residual Sum of Squares:                    5.2404744073E-04
Residual Standard Deviation:                1.8629312528E-03
Degrees of Freedom:                               151
Number of Observations:                           154











Data:   y               x
     -34.834702E0      7.447168E0
     -34.393200E0      8.102586E0
     -34.152901E0      8.452547E0
     -33.979099E0      8.711278E0
     -33.845901E0      8.916774E0
     -33.732899E0      9.087155E0
     -33.640301E0      9.232590E0
     -33.559200E0      9.359535E0
     -33.486801E0      9.472166E0
     -33.423100E0      9.573384E0
     -33.365101E0      9.665293E0
     -33.313000E0      9.749461E0
     -33.260899E0      9.827092E0
     -33.217400E0      9.899128E0
     -33.176899E0      9.966321E0
     -33.139198E0     10.029280E0
     -33.101601E0     10.088510E0
     -33.066799E0     10.144430E0
     -33.035000E0     10.197380E0
     -33.003101E0     10.247670E0
     -32.971298E0     10.295560E0
     -32.942299E0     10.341250E0
     -32.916302E0     10.384950E0
     -32.890202E0     10.426820E0
     -32.864101E0     10.467000E0
     -32.841000E0     10.505640E0
     -32.817799E0     10.542830E0
     -32.797501E0     10.578690E0
     -32.774300E0     10.613310E0
     -32.757000E0     10.646780E0
     -32.733799E0     10.679150E0
     -32.716400E0     10.710520E0
     -32.699100E0     10.740920E0
     -32.678799E0     10.770440E0
     -32.661400E0     10.799100E0
     -32.644001E0     10.826970E0
     -32.626701E0     10.854080E0
     -32.612202E0     10.880470E0
     -32.597698E0     10.906190E0
     -32.583199E0     10.931260E0
     -32.568699E0     10.955720E0
     -32.554298E0     10.979590E0
     -32.539799E0     11.002910E0
     -32.525299E0     11.025700E0
     -32.510799E0     11.047980E0
     -32.499199E0     11.069770E0
     -32.487598E0     11.091100E0
     -32.473202E0     11.111980E0
     -32.461601E0     11.132440E0
     -32.435501E0     11.152480E0
     -32.435501E0     11.172130E0
     -32.426800E0     11.191410E0
     -32.412300E0     11.210310E0
     -32.400799E0     11.228870E0
     -32.392101E0     11.247090E0
     -32.380501E0     11.264980E0
     -32.366001E0     11.282560E0
     -32.357300E0     11.299840E0
     -32.348598E0     11.316820E0
     -32.339901E0     11.333520E0
     -32.328400E0     11.349940E0
     -32.319698E0     11.366100E0
     -32.311001E0     11.382000E0
     -32.299400E0     11.397660E0
     -32.290699E0     11.413070E0
     -32.282001E0     11.428240E0
     -32.273300E0     11.443200E0
     -32.264599E0     11.457930E0
     -32.256001E0     11.472440E0
     -32.247299E0     11.486750E0
     -32.238602E0     11.500860E0
     -32.229900E0     11.514770E0
     -32.224098E0     11.528490E0
     -32.215401E0     11.542020E0
     -32.203800E0     11.555380E0
     -32.198002E0     11.568550E0
     -32.189400E0     11.581560E0
     -32.183601E0     11.594420E0
     -32.174900E0     11.607121E0
     -32.169102E0     11.619640E0
